-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.034,  0.148
-183.800, 80.198, 0.033,  0.181
-183.800, 80.196, 0.037,  0.214
-183.800, 80.193, 0.125,  0.247
-183.799, 80.185, 0.249,  0.280
-183.798, 80.173, 0.364,  0.313
-183.798, 80.158, 0.465,  0.346
-183.796, 80.136, 0.634,  0.379
-183.794, 80.110, 0.804,  0.412
-183.791, 80.078, 1.001,  0.445
-183.788, 80.037, 1.235,  0.478
-183.785, 79.990, 1.434,  0.511
-183.781, 79.937, 1.602,  0.544
-183.776, 79.879, 1.739,  0.577
-183.772, 79.818, 1.844,  0.610
-183.767, 79.755, 1.915,  0.643
-183.762, 79.691, 1.953,  0.676
-183.757, 79.626, 1.962,  0.709
-183.752, 79.562, 1.943,  0.742
-183.748, 79.499, 1.911,  0.775
-183.743, 79.438, 1.873,  0.808
-183.738, 79.377, 1.834,  0.841
-183.733, 79.318, 1.797,  0.874
-183.728, 79.260, 1.763,  0.907
-183.723, 79.203, 1.734,  0.940
-183.718, 79.147, 1.712,  0.973
-183.713, 79.091, 1.696,  1.006
-183.709, 79.035, 1.686,  1.039
-183.704, 78.979, 1.684,  1.072
-183.699, 78.924, 1.687,  1.105
-183.694, 78.867, 1.695,  1.138
-183.688, 78.811, 1.708,  1.171
-183.683, 78.754, 1.724,  1.204
-183.678, 78.696, 1.741,  1.237
-183.673, 78.638, 1.759,  1.270
-183.667, 78.579, 1.777,  1.303
-183.661, 78.519, 1.793,  1.336
-183.656, 78.459, 1.807,  1.369
-183.650, 78.399, 1.818,  1.402
-183.644, 78.338, 1.826,  1.435
-183.639, 78.278, 1.832,  1.468
-183.633, 78.217, 1.836,  1.501
-183.627, 78.156, 1.838,  1.534
-183.621, 78.095, 1.839,  1.567
-183.615, 78.034, 1.838,  1.600
-183.609, 77.973, 1.837,  1.633
-183.603, 77.912, 1.836,  1.666
-183.597, 77.851, 1.835,  1.699
-183.591, 77.790, 1.835,  1.732
